original_index,agentRate,wizardSuccess,intent,absent_n,composite,text,ville_depart,ville_destination,date_depart,date_retour,budget
98,4.0,False,,4,a_definir_apres_selection,What would the cost be if I stayed for 10 days in Mexico City?,,Mexico City,,,
100,4.0,False,,4,a_definir_apres_selection,"Actually I am leaving from Melbourne, Australia. How does this affect the price of the trip?","Melbourne, Australia",,,,
105,4.0,False,book,4,a_definir_apres_selection,"Hello, I am planning to book a trip to pittsborgh",,pittsborgh,,,
109,4.0,False,,4,a_definir_apres_selection,We will be leaving from Fukuoka,Fukuoka,,,,
111,4.0,False,,5,a_definir_apres_selection,"there will be myself, 1 adult, and my four kids",,,,,
113,4.0,False,,3,a_definir_apres_selection,none at the moment,,,-1,-1,
115,4.0,False,,5,a_definir_apres_selection,also not sure yet,,,,,
119,4.0,False,,4,a_definir_apres_selection,I have $12600 to spend on this vacation,,,,,$12600
121,4.0,False,,5,a_definir_apres_selection,we are very flexible with dates anything would work,,,,,
124,5.0,False,book,1,a_definir_apres_selection,"Hi, I need to go to Mos Eisley for a wedding, leaving on Saturday, August 13, 2016 and returning on Tuesday, August 16, 2016. Preferably for $3700.",,Mos Eisley,"Saturday, August 13, 2016","Tuesday, August 16, 2016",$3700
126,2.0,True,book,1,a_definir_apres_selection,"I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016. My budget is $3200 and I would leave from Detroit.",Detroit,,"Monday, August 15, 2016","Wednesday, August 31, 2016",$3200
128,2.0,True,,4,a_definir_apres_selection,"Anywhere, I'm looking for an adventure. What do you have?",,-1,,,
134,2.0,True,,3,a_definir_apres_selection,Anything between August 15 and August 31?,,,August 15,August 31,
137,5.0,True,book,2,a_definir_apres_selection,"Good day, please book me a trip from Vancouver, Jamaica to Recife. I would like to leave for 17 days on August 24.","Vancouver, Jamaica",Recife,August 24,,
147,5.0,True,,3,a_definir_apres_selection,"Actually I will be departing from Vancouver, British Columbia, do you have packages to Recife?","Vancouver, British Columbia",Recife,,,
155,5.0,True,book,5,a_definir_apres_selection,"Ok, I'm ready to buy this package",,,,,
162,5.0,True,book,4,a_definir_apres_selection,Hi im looking for a nice destination that i could go to from Columbus,Columbus,,,,
164,5.0,True,,5,a_definir_apres_selection,What options are there for both,,,,,
166,5.0,True,,4,a_definir_apres_selection,$3700 is my budget at the moment,,,,,$3700
170,5.0,True,,4,a_definir_apres_selection,would by chance have one leaving on the 19th,,,19th,,
175,5.0,True,book,2,a_definir_apres_selection,"Hi, I have a big family and we can't afford a big vacation, we want to go to Atlantis from Mos Eisley for $3600 at most.",Mos Eisley,Atlantis,,,$3600
177,5.0,True,,3,a_definir_apres_selection,Nope,,,-1,-1,
179,5.0,True,,5,a_definir_apres_selection,12 adults and one child.,,,,,
184,5.0,True,book,0,a_definir_apres_selection,"Hi, I'm leaving from Diagon Alley and going to Coruscant on a budget of $3400. The dates don't matter, but I cannot afford anything over my budget.",Diagon Alley,Coruscant,-1,-1,$3400
186,5.0,True,,5,a_definir_apres_selection,Just myself.,,,,,
192,5.0,True,,4,a_definir_apres_selection,nor Coruscant?,,Coruscant,,,
195,3.0,True,book,4,a_definir_apres_selection,"Hi there, im from Vitoria and I want to go on vacation",Vitoria,,,,
197,3.0,True,,4,a_definir_apres_selection,I would like to go to Santo domingo,,Santo domingo,,,
203,3.0,True,,5,a_definir_apres_selection,what type of flight is that going to be?,,,,,
205,3.0,True,book,5,a_definir_apres_selection,let’s book it please,,,,,
208,4.0,True,book,4,a_definir_apres_selection,"Hi, me and my family want to take a trip to Kakariko Village.",,Kakariko Village,,,
210,4.0,True,,3,a_definir_apres_selection,We are four adults and 11 children departing from Godric's Hollow. $3500 is the most we are willing to spend.,Godric's Hollow,,,,$3500
212,4.0,True,,4,a_definir_apres_selection,I would not be able to spend more than $4500,,,,,$4500
214,4.0,True,,3,a_definir_apres_selection,We'll catch a flight from Toronto then. We're headed for Kakariko Village.,Toronto,Kakariko Village,,,
216,4.0,True,,2,a_definir_apres_selection,"Ok, do you have any travel packages to Kingston, Canada for 11 kids and 4 adults, $3500 or less, departing from Toronto?",Toronto,"Kingston, Canada",,,$3500
222,4.0,True,book,5,a_definir_apres_selection,"Yes, I'll take it. Thank you",,,,,
223,5.0,True,book,2,a_definir_apres_selection,"Hi, I'm looking for a trip  from Thursday, August 18, 2016 to Thursday, September 8, 2016 to Mexico City",,Mexico City,"Thursday, August 18, 2016","Thursday, September 8, 2016",
225,5.0,True,,4,a_definir_apres_selection,Kingston,Kingston,,,,
229,5.0,True,,3,a_definir_apres_selection,"I prefer 3 stars and above. I'm flexible with my budget, is there anything else in Columbo?",,Columbo,,,-1
231,5.0,True,,4,a_definir_apres_selection,That's looking good. I want to see a few more options before I choose one. There's nothing available in Porto?,,Porto,,,
236,1.0,True,book,3,a_definir_apres_selection,Hi im from Caprica looking to book a vacation to Hyrule,Caprica,Hyrule,,,
238,1.0,True,,2,a_definir_apres_selection,"Ya for sure, not sure where, lets see what would fit my plans between the 13th of august and the 16th",,-1,13th of august,16th,
240,1.0,True,,4,a_definir_apres_selection,How about if i leave fro Birmingham?,Birmingham,,,,
249,5.0,True,book,1,a_definir_apres_selection,"Hey man, imma leave from Godric's Hollow on August 27, 2016 and go to Goiania. Can't pay more than 4300USD. Watcha got?",Godric's Hollow,Goiania,"August 27, 2016",,4300USD
251,5.0,True,,5,a_definir_apres_selection,Just me,,,,,
253,5.0,True,,4,a_definir_apres_selection,yeah how about Montreal?,Montreal,,,,
261,1.0,True,book,4,a_definir_apres_selection,HI im from Alexandria looking to book a 12 day vacation,Alexandria,,,,
264,5.0,True,book,3,a_definir_apres_selection,Hi im from termina can we find a vacation that starts on the 13th?,termina,,the 13th,,
266,5.0,True,,4,a_definir_apres_selection,How about if i leave from Vancouver where would i be able to go?,Vancouver,,,,
268,5.0,True,,4,a_definir_apres_selection,and if i were to leave from columbus?,columbus,,,,
272,5.0,True,,3,a_definir_apres_selection,"i have a budget of $3000, and let’s say that i leave from Mexico City",Mexico City,,,,$3000
275,5.0,True,book,1,a_definir_apres_selection,"Hi. I'm looking for an adventure from Thursday, August 18 to Saturday, September 3. I'm thinking of going to Fortaleza. Yes, with free breakfast of course. I'm leaving from Essen.",Essen,Fortaleza,"Thursday, August 18","Saturday, September 3",
279,5.0,True,,5,a_definir_apres_selection,How many stars is the hotel?,,,,,
281,5.0,True,,5,a_definir_apres_selection,Is there free wifi?,,,,,
288,5.0,True,book,2,a_definir_apres_selection,"Hi, my name is Harry Potter and I'd like to go to Hogsmeade leaving from Kakariko Village on Saturday, August 13th for 3 nights with 11 friends.",Kakariko Village,Hogsmeade,"Saturday, August 13th",,
294,3.0,True,book,4,a_definir_apres_selection,Hi looking to go on vacation on the 13th of august,,,13th of august,,
296,3.0,True,,4,a_definir_apres_selection,How about Naples,,Naples,,,
298,3.0,True,,4,a_definir_apres_selection,Vancouver,Vancouver,,,,
300,3.0,True,,3,a_definir_apres_selection,im planning on a three day get away from the 13th to the 16th of August,,,13th,16th of August,
304,3.0,True,,5,a_definir_apres_selection,are there any other Hotels?,,,,,
308,3.0,True,,5,a_definir_apres_selection,and is that flight in Business class?,,,,,
310,3.0,True,,5,a_definir_apres_selection,can we upgrade it?,,,,,
313,5.0,True,book,1,a_definir_apres_selection,Hi. I live in Busan and I'd like to go to Las Vegas from Wednesday August 17 to Monday September 5. What's available?,Busan,Las Vegas,Wednesday August 17,Monday September 5,
317,5.0,True,,4,a_definir_apres_selection,Around 3000USD,,,,,3000USD
319,5.0,True,,4,a_definir_apres_selection,How much is a package to Punta Cana?,,Punta Cana,,,
325,5.0,True,book,1,a_definir_apres_selection,"Hello, I want to leave from Seoul on August 27 and return on September 9. You can go to Manaus.",Seoul,Manaus,August 27,September 9,
327,5.0,True,,4,a_definir_apres_selection,"No budget, I show me an array of packages with varying prices",,,,,-1
331,5.0,True,,5,a_definir_apres_selection,Does the hotel have a gym which guests can access?,,,,,
334,5.0,True,book,2,a_definir_apres_selection,I'm a polygamist and I'd like to travel with my 6 partners and 1 child to San Juan from Pittsburgh on a budget of 6600 USD,Pittsburgh,San Juan,,,6600 USD
338,5.0,True,,3,a_definir_apres_selection,How much would it cost from August 17th to August 25th?,,,August 17th,August 25th,
342,5.0,True,book,1,a_definir_apres_selection,"Hi, send me on a 10 day-trip away from Cairo. I'd like to leave August 15. Send me to Sendai. Money is not object",Cairo,Sendai,August 15,,-1
344,5.0,True,,5,a_definir_apres_selection,"Just me, one adult",,,,,
348,5.0,True,,5,a_definir_apres_selection,Would it be possible to upgrade to first class?,,,,,
353,4.0,True,book,2,a_definir_apres_selection,"Good afternoon, I'd like to book a trip with my son from August 18 to August 29. He and I would be leaving from Curitiba. What destinations can you offer?",Curitiba,,August 18,August 29,
357,4.0,True,,2,a_definir_apres_selection,Is there anything for 2600USD between the dates of August 18 and August 29th? For less than 10 days?,,,August 18,August 29th,2600USD
361,4.0,True,,5,a_definir_apres_selection,"What is the hotel, and how many stars does it have?",,,,,
367,4.0,True,book,5,a_definir_apres_selection,Ok I'll book this one.,,,,,
370,5.0,True,book,4,a_definir_apres_selection,"Hi, my family and i are booking a trip to Sacramento, can you help us?",,Sacramento,,,
372,5.0,True,,4,a_definir_apres_selection,we would be coming from San Diego,San Diego,,,,
374,5.0,True,,5,a_definir_apres_selection,there will be 3 kids and myself (an adult),,,,,
376,5.0,True,,3,a_definir_apres_selection,not really,,,-1,-1,
378,5.0,True,,5,a_definir_apres_selection,depends on the package we get,,,,,
380,5.0,True,,4,a_definir_apres_selection,im willing to spend at most $4200,,,,,$4200
385,5.0,True,book,3,a_definir_apres_selection,"Hi I need a break from Gotham City, the crime rate is just too high. I'd like to go to Hogsmead with 3 kids and 9 adults.",Gotham City,Hogsmead,,,
389,5.0,True,,2,a_definir_apres_selection,"Hello, I have 15 vacation days available between June 1st and August 31st. I am leaving from Theed. I would like to go somewhere with lots of sunshine.",Theed,,June 1st,August 31st,
391,5.0,True,,4,a_definir_apres_selection,"Do you have any departures from Kobe, Japan?","Kobe, Japan",,,,
393,5.0,True,,4,a_definir_apres_selection,How about Birmingham City?,Birmingham City,,,,
399,5.0,True,,4,a_definir_apres_selection,Could you show me some hotels with lower guest ratings and lower prices?,,,,,lower
407,5.0,True,,4,a_definir_apres_selection,"I can extend my vacation time to the 14th of September, does this open up any new options?",,,,14th of September,
415,5.0,True,,5,a_definir_apres_selection,I would prefer to fly economy,,,,,
418,5.0,True,book,1,a_definir_apres_selection,"Hello! I live in Munich and I'd like to book any kind of trip between Monday, August 15th and Friday August 26th for 3 adults and 3 kids.",Munich,-1,"Monday, August 15th",Friday August 26th,
420,5.0,True,,4,a_definir_apres_selection,I have a budget of 2800 USD... Do you have anything cheaper? Perhaps for a shorter duration?,,,,,2800 USD
426,5.0,True,book,5,a_definir_apres_selection,Perfect! I will book this one.,,,,,
429,5.0,True,book,4,a_definir_apres_selection,Hi im from punta cana looking to go on a trip,punta cana,,,,
431,5.0,True,,4,a_definir_apres_selection,Im thinking to Fukuoka,,Fukuoka,,,
433,5.0,True,,3,a_definir_apres_selection,maybe the 15th of August until the 20th,,,15th of August,20th,
435,5.0,True,,5,a_definir_apres_selection,just myself,,,,,
439,5.0,True,,5,a_definir_apres_selection,what is the rating,,,,,
441,5.0,True,,4,a_definir_apres_selection,and what if i were to go to Essen?,,Essen,,,
447,5.0,True,,4,a_definir_apres_selection,Is there a flight to Santiago,,Santiago,,,
459,5.0,True,,5,a_definir_apres_selection,If i were to choose economy class what would it be?,,,,,
464,5.0,True,book,3,a_definir_apres_selection,Hey! You can help me by finding a trip to Philadelphia from Maceio.,Maceio,Philadelphia,,,
468,5.0,True,,5,a_definir_apres_selection,And for a four star hotel?,,,,,
474,5.0,True,,5,a_definir_apres_selection,Is there a spa in the hotel?,,,,,
478,5.0,True,,5,a_definir_apres_selection,Around 11 days.,,,,,
480,5.0,True,,4,a_definir_apres_selection,Good idea. What about Canoas?,Canoas,,,,
482,5.0,True,,4,a_definir_apres_selection,What about porto alegre,porto alegre,,,,
486,5.0,True,,4,a_definir_apres_selection,Anytime in the month of September,,,-1,,
494,5.0,True,book,5,a_definir_apres_selection," I'll book this one. Thank you, friend!",,,,,
496,5.0,True,book,3,a_definir_apres_selection,Good afternoon. I'd like to book a business trip to New York from Mannheim. What can you offer?,Mannheim,New York,,,
498,5.0,True,,3,a_definir_apres_selection,"Dates are flexible, but I have a company budget of 3100 USD. I'd like to go either in August or September.",,,-1,,3100 USD
502,5.0,True,,4,a_definir_apres_selection,What about leaving around September 13th?,,,September 13th,,
506,5.0,True,,5,a_definir_apres_selection,That sounds very nice. Does the package include a business class flight?,,,,,
510,5.0,True,,5,a_definir_apres_selection,What is the time of arrival?,,,,,
514,5.0,True,,5,a_definir_apres_selection,Excellent. There is a possibility that I may need to bring a co-worker with me. How much would the trip cost for 2 people?,,,,,
519,5.0,True,book,0,a_definir_apres_selection,I would like a vacation for one in Mannheim from August 17 to September 7. My city of departure is Porto Alegre. It should cost less than $3000.,Porto Alegre,Mannheim,August 17,September 7,$3000
536,5.0,True,book,4,a_definir_apres_selection,"Hi I am planning on booking a vacation soon, around August 27th",,,August 27th,,
538,5.0,True,,4,a_definir_apres_selection,I was thinking maybe St. Louis,,St. Louis,,,
540,5.0,True,,4,a_definir_apres_selection,I will be departing from Tijuana. I'll be going solo,Tijuana,,,,
542,5.0,True,,4,a_definir_apres_selection,what type of packages would i get if i were to go to Mannheim instead?,,Mannheim,,,
544,5.0,True,,4,a_definir_apres_selection,"im looking for a longer trip, would there perhaps be one in san antonio?",,san antonio,,,
546,5.0,True,,4,a_definir_apres_selection,yes i could as long as i return by September 17th,,,,September 17th,
548,5.0,True,,5,a_definir_apres_selection,What would the duration be? and could I see some better rated hotels?,,,,,
552,5.0,True,,5,a_definir_apres_selection,for business class,,,,,
559,5.0,True,book,2,a_definir_apres_selection,"Hi! I hear Hogsmeade has some excellent bars. Can you book me a trip there from Diagon Alley, leaving on August 13th? For 7 men and women",Diagon Alley,Hogsmeade,August 13th,,
561,5.0,True,,4,a_definir_apres_selection,"Well, we were thinking Dominican Republic could be fun as well.",,Dominican Republic,,,
563,5.0,True,,4,a_definir_apres_selection,"Yes, Vancouver.",Vancouver,,,,
565,5.0,True,,4,a_definir_apres_selection,Punta Cana is good!,,Punta Cana,,,
571,5.0,True,,5,a_definir_apres_selection,How many stars is it?,,,,,
573,5.0,True,,5,a_definir_apres_selection,Let's try 4 stars.,,,,,
575,5.0,True,,4,a_definir_apres_selection,"End of August, anytime after the 22nd of August.",,,,after the 22nd of August,
577,5.0,True,,5,a_definir_apres_selection,2.5 stars will do. Can you offer any additional activities?,,,,,
579,5.0,True,,5,a_definir_apres_selection,How about breakfast?,,,,,
581,5.0,True,,5,a_definir_apres_selection,Are there other hotels in the area that do?,,,,,
585,5.0,True,,5,a_definir_apres_selection,When do we leave?,,,,,
589,5.0,True,book,5,a_definir_apres_selection,Great! I'll book this one. Thank you,,,,,
593,5.0,True,,1,a_definir_apres_selection,"Ok great! I'm looking for a trip from August 19th to September 3rd, and I'm thinking of going to Mexico City. I would be departing from Busan.",Busan,Mexico City,August 19th,September 3rd,
601,5.0,True,,5,a_definir_apres_selection,Great! Do you know if there is free wifi and breakfast?,,,,,
603,5.0,True,,5,a_definir_apres_selection,What are the departure dates?,,,,,
607,5.0,True,,5,a_definir_apres_selection,I'll keep the second Mexico City option in mind. I have some other places that I'd like to consider.,,,,,
613,5.0,True,,5,a_definir_apres_selection,With free breakfast?,,,,,
615,5.0,True,,5,a_definir_apres_selection,Amazing! This one is already looking better than Mexico City. What are the departure and arrival dates and times?,,,,,
621,5.0,True,,4,a_definir_apres_selection,Excellent. Can you see what's available in Athens?,,Athens,,,
627,5.0,True,,5,a_definir_apres_selection,Does it have a spa?,,,,,
632,5.0,False,book,3,a_definir_apres_selection,We are 3 adults and three kids looking for a vacation between August 18 and September 4,,,August 18,September 4,
640,5.0,False,,4,a_definir_apres_selection,"I can increase my budget by $200, does that open up any new options?",,,,,increase my budget by $200
644,5.0,False,,4,a_definir_apres_selection,I would like to depart from Baltimore,Baltimore,,,,
646,5.0,False,,3,a_definir_apres_selection,Any time between August 18 and September 4.,,,August 18,September 4,
655,5.0,True,book,4,a_definir_apres_selection,hi I’m looking to go on a trip to Caprica,,Caprica,,,
658,5.0,True,,2,a_definir_apres_selection,Hi! I'd like to go to Boston from Mos Eisley on August 15th.,Mos Eisley,Boston,August 15th,,
668,5.0,True,,4,a_definir_apres_selection,I don't have a specific date in mind.,,,,-1,
676,5.0,True,,5,a_definir_apres_selection,"I should have mentioned earlier, we are 6 adults.",,,,,
678,5.0,True,,4,a_definir_apres_selection,That's way too much! I have a budget of 3700 USD!,,,,,3700 USD
681,3.0,True,book,3,a_definir_apres_selection,Hi im looking to make a quick trip im from tampa and want to go to Dallas,tampa,Dallas,,,
683,3.0,True,,3,a_definir_apres_selection,not really,,,-1,-1,
685,3.0,True,,5,a_definir_apres_selection,not sure yet,,,,,
689,3.0,True,,5,a_definir_apres_selection,there will be 1 child and 7 adults,,,,,
694,5.0,True,book,4,a_definir_apres_selection,Hi im from Leon and looking to get away,Leon,,,,
696,5.0,True,,4,a_definir_apres_selection,Maybe milan,,milan,,,
698,5.0,True,,3,a_definir_apres_selection,august 18th. until september 2nd,,,august 18th,september 2nd,
704,5.0,True,,5,a_definir_apres_selection,let’s say for all packages in respect to business class,,,,,
710,5.0,True,book,5,a_definir_apres_selection,perfect lets book it. thank you!,,,,,
711,5.0,True,book,1,a_definir_apres_selection,I'd like to go to Manaus from Miami between August 19th and September 2nd.,Miami,Manaus,August 19th,September 2nd,
713,5.0,True,,5,a_definir_apres_selection,Myself and two colleagues,,,,,
717,5.0,True,,5,a_definir_apres_selection,Excellent! For 3 people?,,,,,
719,5.0,True,,5,a_definir_apres_selection,What amenities does the hotel have?,,,,,
725,5.0,True,,5,a_definir_apres_selection,Looking good so far. What amenities does this hotel have?,,,,,
727,5.0,True,,5,a_definir_apres_selection,And how many stars?,,,,,
734,5.0,False,book,1,a_definir_apres_selection,I am one person voyaging to Tampa. I can depart from Indianapolis. Must be between 20th and 31 August.,Indianapolis,Tampa,20th,31 August,
736,5.0,False,,4,a_definir_apres_selection,"No, and I have expensive taste",,,,,-1
738,5.0,False,,4,a_definir_apres_selection,"On second thought, I would like to go to Busan.",,Busan,,,
740,5.0,False,,5,a_definir_apres_selection,Would I be allowed to got with me and four colleagues?,,,,,
745,5.0,True,book,1,a_definir_apres_selection,I'd like to go to Seattle from Belem between August 27th and September 5th. What is available?,Belem,Seattle,August 27th,September 5th,
747,5.0,True,,4,a_definir_apres_selection,That sounds good. What are my options if I leave from Belo Horizonte?,Belo Horizonte,,,,
753,5.0,True,,4,a_definir_apres_selection,What about Sao Paulo?,,Sao Paulo,,,
755,5.0,True,,4,a_definir_apres_selection,Travel to Sao Paulo.,,Sao Paulo,,,
757,5.0,True,,4,a_definir_apres_selection,Fantastic! And if I leave from Belo Horizonte?,Belo Horizonte,,,,
763,5.0,True,book,5,a_definir_apres_selection,Excellent! Let's book this one.,,,,,
766,5.0,True,book,4,a_definir_apres_selection,"Hi! I'm looking for a trip to Milan with two of my best friends for march break, what's available?",,Milan,,,
768,5.0,True,,2,a_definir_apres_selection,From Cleveland between Wednesday August 17 and Saturday August 27!,Cleveland,,Wednesday August 17,Saturday August 27,
770,5.0,True,,4,a_definir_apres_selection,Oh no! My friends and I are on a budget of $5400!,,,,,$5400
772,5.0,True,,4,a_definir_apres_selection,What about Pittsburgh? It seems to be a trendy destination this year.,,Pittsburgh,,,
776,5.0,True,,5,a_definir_apres_selection,Do you have anything else?,,,,,
784,5.0,True,book,5,a_definir_apres_selection,Ok I'll send them a tweet! I'll book this one!,,,,,
787,5.0,True,book,3,a_definir_apres_selection,Hello there! Looking to get away between August 27th and August 30th! Can you help me?,,,August 27th,August 30th,
789,5.0,True,,3,a_definir_apres_selection,"Not at the moment, but i am from Mexico City",Mexico City,-1,,,
796,4.0,True,book,5,a_definir_apres_selection,Hi going on vacation with my Family can you help me book a vacation?,,,,,
798,4.0,True,,4,a_definir_apres_selection,We want to go to Atlanta,,Atlanta,,,
800,4.0,True,,5,a_definir_apres_selection,in total the party will be 7 kids and 5 adults,,,,,
802,4.0,True,,4,a_definir_apres_selection,We’re in Santa cruz!,Santa cruz,,,,
806,4.0,True,,2,a_definir_apres_selection,"we have around $34300, depending on how good the deal is were willing to change it. At the moment we can go whenever",,,-1,-1,$34300
814,4.0,True,book,5,a_definir_apres_selection,yes that would work perfectly! :slightly_smiling_face: please book it,,,,,
819,5.0,True,,3,a_definir_apres_selection,I'd like to book a trip to Rome for business purposes. What's available for departures from Calgary?,Calgary,Rome,,,
821,5.0,True,,3,a_definir_apres_selection,"That's a possibility, and what about between August 27 and September 12th?",,,August 27,September 12th,
825,5.0,True,,5,a_definir_apres_selection,I prefer 2 and above. I may also have a colleague travelling with me. What else can you offer?,,,,,
831,5.0,True,,5,a_definir_apres_selection,"I need free wifi, is this included?",,,,,
833,5.0,True,,5,a_definir_apres_selection,"Excellent! I will most probably book this one, but I would like to see about one more destination.",,,,,
839,5.0,True,,5,a_definir_apres_selection,That is suitable. Is the wifi free?,,,,,
841,5.0,True,,5,a_definir_apres_selection,Excellent. And what are the departure and arrival dates and times?,,,,,
848,3.0,True,book,4,a_definir_apres_selection,I am from London and am looking to book a vacation package!,London,,,,
850,3.0,True,,4,a_definir_apres_selection,are there any that go to San Diego?,,San Diego,,,
854,3.0,True,,4,a_definir_apres_selection,let's see what we can do with something a bit further how about pittsburgh? what packages do we have there?,,pittsburgh,,,
856,3.0,True,,4,a_definir_apres_selection,is there anything leaving a bit later,,,a bit later,,
858,3.0,True,,4,a_definir_apres_selection,anything after the 30th?,,,30th,,
869,5.0,True,book,4,a_definir_apres_selection,I want to book a trip to Valencia!,,Valencia,,,
871,5.0,True,,4,a_definir_apres_selection,I think i will be leaving from lima!,lima,,,,
873,5.0,True,,4,a_definir_apres_selection,"I want to have the time of my life, the more expensive, the better",,,,,expensive
877,5.0,True,,4,a_definir_apres_selection,"not yet, i was wondering what other options would i have in Punto cana.",,Punto cana,,,
887,5.0,True,book,5,a_definir_apres_selection,that seems to be just perfect! i can not wait! thank you so much im going to have the best time of my life!,,,,,
890,5.0,True,book,5,a_definir_apres_selection,Hi. I am in dire need of a vacation.,,,,,
892,5.0,True,,0,a_definir_apres_selection,"I'd like to go to Mannheim for 8 days leaving from Paris. I have September 1 to September 19th off. What is available? This time, money isn't a problem, I'm treating myself. I'm looking for luxury this vacation.",Paris,Mannheim,September 1,September 19th,-1
894,5.0,True,,4,a_definir_apres_selection,That's exactly what I'm looking for! I'd also like to compare for trips to Porto Alegre. What can you offer?,,Porto Alegre,,,
896,5.0,True,,5,a_definir_apres_selection,Anything with 5 stars?,,,,,
900,5.0,True,,5,a_definir_apres_selection,Oh my! And how many stars?,,,,,
902,5.0,True,,5,a_definir_apres_selection,Absolutely perfect! What are the arrival and departure times?,,,,,
904,5.0,True,book,5,a_definir_apres_selection,"Great, I'd like to book this one please.",,,,,
907,2.0,True,,1,a_definir_apres_selection,Hi. I need to book a vacation to Long Beach between August 25 and September 3. Departure is from Paris,Paris,Long Beach,August 25,September 3,
911,2.0,True,,1,a_definir_apres_selection,"I'm not quite sure I understand, is there anything available leaving Long Beach to go to Paris between August 25 and September 3rd?",Long Beach,Paris,August 25,September 3rd,
917,2.0,True,,5,a_definir_apres_selection,"Look buddy, is there free breakfast or not? Tell me, am I gonna get eggs, toast, cereal, etc? You know? The good stuff?",,,,,
919,2.0,True,,5,a_definir_apres_selection,What is the price of this toastless package?,,,,,
921,2.0,True,,5,a_definir_apres_selection,Is this the cheapest option?,,,,,
923,2.0,True,,5,a_definir_apres_selection,And the hotel has how many stars?,,,,,
925,2.0,True,book,5,a_definir_apres_selection,Ok I will book this one.,,,,,
931,5.0,True,book,5,a_definir_apres_selection,Hi! I'd like to do some vacation shopping!,,,,,
933,5.0,True,,1,a_definir_apres_selection,"I live in Campinas, and I'd like to travel from August 25 the September 7. Let's start by looking at Vancouver!",Campinas,Vancouver,August 25,September 7,
935,5.0,True,,5,a_definir_apres_selection,"Is there free breakfast, wifi or parking?",,,,,
937,5.0,True,,5,a_definir_apres_selection,How many stars?,,,,,
939,5.0,True,,4,a_definir_apres_selection,Great! Now what about La Paz?,,La Paz,,,
943,5.0,True,,5,a_definir_apres_selection,What amenities does the hotel have?,,,,,
